coordinates,y,x,market,desc
"32.925518,-80.693676",32.925518,-80.693676,Berkeley,I-95 .3 miles south of Exit 57 (SC 64)
"32.879065,-79.931546",32.879065,-79.931546,Charleston,I-526 (Clements Ferry Road/Island Park Drive) - DIGITAL
"32.862309,-47.133221",32.862309,-47.133221,Charleston,I-26 .9 miles east of Montague Avenue
"32.780278,-80.175745",32.780278,-80.175745,Charleston,US 17 .5 miles south of State Route 162
"33.18907,-80.388639",33.18907,-80.388639,Charleston,I-26 4 miles east of State Route 453
"34.853375,-82.27381",34.853375,-82.27381,Greenville,I-85 1 mile south of Pelham Road
"34.800694,-82.426206",34.800694,-82.426206,Greenville,Highway 25 (White Horse Road) 100 feet south of I-185
"34.213976,-80.557273",34.213976,-80.557273,Horry,I-20 .2 miles west of Blackriver Road
"33.198352,-80.603678",33.198352,-80.603678,Jasper,I-95 200 feet north of US 78
"33.991705,-81.28411",33.991705,-81.28411,Lexington,US 1 .2 miles west of US 1 & 378
"34.676191,-83.113147",34.676191,-83.113147,Oconee,Highway 76 240 feet west of Pearson Street
"35.077102,-82.058124",35.077102,-82.058124,Spartanburg,I-26 750 feet east of Highway 292
"34.888934,-82.175159",34.888934,-82.175159,Spartanburg,I-85 .9 miles south of Highway 101
"34.560493,-81.890579",34.560493,-81.890579,York,I-26 4 miles west of SC 56
"35.051335,-80.958524",35.051335,-80.958524,York,I-77 .4 miles north of Coltharp Road
